http://placement.iitk.ac.in/pas/student/company_profiles/789?v=1480399623, ABB,
http://placement.iitk.ac.in/pas/student/company_profiles/788?v=1480346566, Times Internet Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/543?v=1480344876, Infosys Limited,
http://placement.iitk.ac.in/pas/student/company_profiles/786?v=1480305777, Infoworks Data Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/686?v=1480164332, MediaTek Bangalore Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/784?v=1480160647, Newgen,
http://placement.iitk.ac.in/pas/student/company_profiles/782?v=1480157828, Novartis Healthcare,
http://placement.iitk.ac.in/pas/student/company_profiles/781?v=1480146506, L&T Construction,
http://placement.iitk.ac.in/pas/student/company_profiles/540?v=1480077220, Samsung R & D Institute India, Bangalore
http://placement.iitk.ac.in/pas/student/company_profiles/777?v=1480068163, Fortune Cookie,
http://placement.iitk.ac.in/pas/student/company_profiles/776?v=1480065610, Teal Labs,
http://placement.iitk.ac.in/pas/student/company_profiles/775?v=1480065108, Edelweiss,
http://placement.iitk.ac.in/pas/student/company_profiles/774?v=1479996038, Efeso Consulting Private Limited,
http://placement.iitk.ac.in/pas/student/company_profiles/493?v=1479995643, Edgeverve Systems Limited,
http://placement.iitk.ac.in/pas/student/company_profiles/773?v=1479993657, BUSIGENCE TECHNOLOGIES PVT. LTD.,
http://placement.iitk.ac.in/pas/student/company_profiles/771?v=1479979500, Hero MotoCorp Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/768?v=1479906405, Analog Devices,
http://placement.iitk.ac.in/pas/student/company_profiles/767?v=1479549715, Ernst & Young GDS,
http://placement.iitk.ac.in/pas/student/company_profiles/761?v=1479491137, Paytm,
http://placement.iitk.ac.in/pas/student/company_profiles/760?v=1479490464, Samsung Research & Development Institute India, Noida
http://placement.iitk.ac.in/pas/student/company_profiles/758?v=1479490058, Accenture India,
http://placement.iitk.ac.in/pas/student/company_profiles/757?v=1479489283, Eaton,
http://placement.iitk.ac.in/pas/student/company_profiles/754?v=1479485760, Sprinklr Solutions Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/753?v=1479485188, CodeNation,
http://placement.iitk.ac.in/pas/student/company_profiles/750?v=1479482592, Visa Inc.,
http://placement.iitk.ac.in/pas/student/company_profiles/747?v=1479472834, Mahindra & Mahindra Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/748?v=1479470964, Deskera Pte Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/539?v=1479208813, Tata Steel Ld,
http://placement.iitk.ac.in/pas/student/company_profiles/746?v=1479129367, Rocket Fuel Inc,
http://placement.iitk.ac.in/pas/student/company_profiles/745?v=1478888887, Xerox Research Center India,
http://placement.iitk.ac.in/pas/student/company_profiles/744?v=1478875492, ITC LIMITED,
http://placement.iitk.ac.in/pas/student/company_profiles/739?v=1478612534, Indiamart,
http://placement.iitk.ac.in/pas/student/company_profiles/733?v=1478199314, J P Morgan Chase,
http://placement.iitk.ac.in/pas/student/company_profiles/729?v=1477905803, Reckitt Benckiser,
http://placement.iitk.ac.in/pas/student/company_profiles/722?v=1477757122, Stat Decision Labs,
http://placement.iitk.ac.in/pas/student/company_profiles/720?v=1477749509, Dar Al-Handasah Consultants (Shairs & Partners) India Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/719?v=1477748242, Bajaj Auto Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/718?v=1477667523, Hyundai Motor India Limited,
http://placement.iitk.ac.in/pas/student/company_profiles/717?v=1477666818, Silverleaf Capital Services Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/716?v=1477665940, CENGRS GEOTECHNICA PVT. LTD.,
http://placement.iitk.ac.in/pas/student/company_profiles/715?v=1477660213, Shop101 [Operated by O(1) India Private Limited],
http://placement.iitk.ac.in/pas/student/company_profiles/713?v=1477421172, Siksha ‘O’	Anusandhan University,
http://placement.iitk.ac.in/pas/student/company_profiles/710?v=1477419339, THORNTON TOMASETTI INDIA LLP,
http://placement.iitk.ac.in/pas/student/company_profiles/709?v=1477396818, Transforming Higher Education GATE Academy Pvt. Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/708?v=1477394857, Saint-Gobain Research India Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/479?v=1477326926, Amazon Development Center India Pvt. Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/707?v=1477325475, B&S Engineering Consultants Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/704?v=1477323396, Futuring Design Pvt.Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/703?v=1477321607, Vignan’ s Foundation for Science ,Technology and Research University
http://placement.iitk.ac.in/pas/student/company_profiles/701?v=1477311545, MakeMyTrip,
http://placement.iitk.ac.in/pas/student/company_profiles/699?v=1477305799, PTC Software Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/698?v=1477304592, Intel,
http://placement.iitk.ac.in/pas/student/company_profiles/697?v=1477304331, Synopsys India Private Limited,
http://placement.iitk.ac.in/pas/student/company_profiles/696?v=1477302825, PathPartner Technology,
http://placement.iitk.ac.in/pas/student/company_profiles/695?v=1477302727, Tower Research Capital India Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/693?v=1477223942, Nutanix Technologies India Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/692?v=1477139811, Audio Technologies & Codecs (I) Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/689?v=1477137692, OpsHub Technologies Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/687?v=1477137450, Central Research Laboratory, Bharat Electronics Ltd.
http://placement.iitk.ac.in/pas/student/company_profiles/685?v=1477137154, Lama Capital Management LLP,
http://placement.iitk.ac.in/pas/student/company_profiles/684?v=1477136492, Securifi Embedded India Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/680?v=1477135700, Wadi Services pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/674?v=1477134916, Yodlee,
http://placement.iitk.ac.in/pas/student/company_profiles/670?v=1477134600, C-DOT,
http://placement.iitk.ac.in/pas/student/company_profiles/668?v=1477134340, Fractal Analytics Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/657?v=1477134289, Instart Logic,
http://placement.iitk.ac.in/pas/student/company_profiles/664?v=1477133725, Veritas,
http://placement.iitk.ac.in/pas/student/company_profiles/660?v=1477132403, MRF Tyres,
http://placement.iitk.ac.in/pas/student/company_profiles/642?v=1477129266, PeopleStrong HR Services Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/644?v=1477127650, Cubastion Consulting Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/639?v=1477127326, Kirusa,
http://placement.iitk.ac.in/pas/student/company_profiles/638?v=1477126954, YUJ Designs,
http://placement.iitk.ac.in/pas/student/company_profiles/630?v=1477126020, TPF Technologies Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/626?v=1477125843, Saggezza India Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/628?v=1477125358, Oxigen Online Services India Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/622?v=1477124452, Non-Ferrous Materials Technology Development Center (NFTDC),
http://placement.iitk.ac.in/pas/student/company_profiles/623?v=1477124434, Indian Space Research Organization (ISRO),
http://placement.iitk.ac.in/pas/student/company_profiles/619?v=1477057141, Citicorp services india pvt ltd, Bangalore
http://placement.iitk.ac.in/pas/student/company_profiles/618?v=1477056755, KLA Tencor Software India Private Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/617?v=1477052852, Credit Suisse,
http://placement.iitk.ac.in/pas/student/company_profiles/606?v=1476902924, Wedoria Technologies Private Limited,
http://placement.iitk.ac.in/pas/student/company_profiles/605?v=1476902798, IRAGE CAPITAL ADVISORY PVT. LTD.,
http://placement.iitk.ac.in/pas/student/company_profiles/603?v=1476902403, CommScope Networks India Pvt Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/602?v=1476901969, Huawei Technologies India Pvt. Ltd,
http://placement.iitk.ac.in/pas/student/company_profiles/599?v=1476901509, Bigtree Entertainment Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/598?v=1476901075, Browntape Technologies Private Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/582?v=1476898292, Mercedes-Benz Research and Development India Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/584?v=1476898021, Photon Interactive (P) Ltd. India,
http://placement.iitk.ac.in/pas/student/company_profiles/580?v=1476897684, Citrus Payment Solutions Pvt. Ltd.,
http://placement.iitk.ac.in/pas/student/company_profiles/578?v=1476897147, Atkins India,
http://placement.iitk.ac.in/pas/student/company_profiles/576?v=1476897067, Larsen & Toubro Limited,
http://placement.iitk.ac.in/pas/student/company_profiles/575?v=1476897053, Taiwan Semiconductor Manufacturing Company, Ltd.(TSMC)
http://placement.iitk.ac.in/pas/student/company_profiles/572?v=1476896934, Sandip University & Sandip Foundation,
